,id
912,8260549063
913,8260520686
914,8260472131
915,8260448757
916,8260393036
917,8260392197
959,8248174415
1007,8245815192
1008,8216905041
1009,8216806612
1010,8216689891
1011,8216547976
1012,8216362560
1013,8216274527
1014,8215558076
1015,8215476026
1016,8215366177
1017,8215196222
1018,8215072930
1019,8214981397
1020,8214882914
1021,8214815404
1022,8214704203
1023,8214634008
1024,8214151207
1025,8214023491
1026,8213792937
1027,8213673199
1028,8213551504
1029,8213465836
1030,8213402539
1031,8213323545
1032,8213279829
1033,8213219488
1034,8212701685
1035,8212611306
1036,8212525165
1037,8212420159
1038,8212307618
1039,8212197855
1040,8212111878
1041,8212044680
1042,8211992469
1043,8211943918
1044,8211043335
1045,8210928862
1046,8210840286
1047,8210774204
1048,8210731912
1049,8210666453
1050,8209912301
1051,8209859326
1052,8209813804
1053,8209728559
1054,8209707363
1055,8209637479
1056,8209590208
1057,8209573340
1058,8209507662
1059,8209503483
1060,8209457835
1061,8209454775
1062,8209412397
1063,8209410527
1064,8208799154
1065,8208722061
1066,8208709408
1067,8208616510
1068,8208615303
1069,8208515724
1070,8208483958
1071,8208407309
1072,8208396000
1073,8208328257
1074,8208324872
1075,8208265637
1076,8208259205
1077,8208202202
1078,8208196614
1079,8208151727
1080,8208151112
1081,8207728873
1082,8207717670
1083,8207663027
1084,8207629824
1085,8207568805
1086,8207545681
1087,8207487821
1088,8207439622
1089,8207408904
1090,8207340815
1091,8207316087
1092,8207227338
1093,8207209254
1094,8207111865
1095,8207070503
1096,8207015157
1097,8206934001
1098,8206894484
1099,8206802365
1100,8206800696
1101,8206726486
1102,8206721926
1103,8205911089
1104,8205825844
1105,8205805007
1106,8205691679
1107,8205685679
1108,8205590613
1109,8205553550
1110,8205497202
1111,8205465591
1112,8205418745
1113,8205397821
1114,8205361261
1115,8205340482
1116,8205286610
1117,8205272217
1118,8205211360
1119,8205206446
1122,8198212927
1174,8187923027
1200,8182907583
1201,8182791788
1202,8182654920
1203,8182543107
1204,8182423670
1205,8181545391
1206,8181539594
1207,8181522405
1208,8181514705
1209,8181445296
1210,8181420740
1211,8181406947
1212,8181400323
1213,8181307882
1214,8181284015
1215,8181275866
1216,8181273873
1217,8181185346
1218,8181171260
1219,8181166277
1220,8181154673
1221,8179905694
1222,8179852572
1223,8179825453
1224,8179820296
1225,8179818758
1226,8179754432
1227,8179747680
1228,8179735864
1229,8179727963
1230,8179680428
1231,8179644342
1232,8179639324
1233,8179632650
1234,8179557618
1235,8179529448
1236,8179526188
1237,8179504218
1238,8179426172
1239,8179420583
1240,8179388679
1241,8179356848
1242,8179315610
1243,8179312828
1244,8179295960
1245,8179215784
1246,8179201399
1247,8179198444
1248,8179191377
1249,8179129826
1250,8179129689
1251,8179125294
1252,8179123839
1253,8178594096
1254,8178521185
1255,8178503846
1256,8178498792
1257,8178495419
